period,capacity,outage,percentOutage,capacity-units,outage-units,percentOutage-units
2025-01-01,99129.8,2164.062,2.18,megawatts,megawatts,percent
2024-12-31,99094.6,2294.574,2.32,megawatts,megawatts,percent
2024-12-30,99094.6,2196.395,2.22,megawatts,megawatts,percent
2024-12-29,99094.6,2708.987,2.73,megawatts,megawatts,percent
2024-12-28,99094.6,3296.263,3.33,megawatts,megawatts,percent
2024-12-27,99094.6,1958.162,1.98,megawatts,megawatts,percent
2024-12-26,99094.6,1942.367,1.96,megawatts,megawatts,percent
2024-12-25,99094.6,1942.367,1.96,megawatts,megawatts,percent
2024-12-24,99094.6,2669.154,2.69,megawatts,megawatts,percent
2024-12-23,99094.6,2434.359,2.46,megawatts,megawatts,percent
2024-12-22,99094.6,2238.422,2.26,megawatts,megawatts,percent
2024-12-21,99094.6,2266.782,2.29,megawatts,megawatts,percent
2024-12-20,99094.6,2191.466,2.21,megawatts,megawatts,percent
2024-12-19,99094.6,2540.742,2.56,megawatts,megawatts,percent
2024-12-18,99094.6,2537.489,2.56,megawatts,megawatts,percent
2024-12-17,99094.6,1999.252,2.02,megawatts,megawatts,percent
2024-12-16,99094.6,2990.572,3.02,megawatts,megawatts,percent
2024-12-15,99094.6,2870.946,2.9,megawatts,megawatts,percent
2024-12-14,99094.6,4229.576,4.27,megawatts,megawatts,percent
2024-12-13,99094.6,2937.522,2.96,megawatts,megawatts,percent
2024-12-12,99094.6,2893.602,2.92,megawatts,megawatts,percent
2024-12-11,99094.6,3810.982,3.85,megawatts,megawatts,percent
2024-12-10,99094.6,5279.272,5.33,megawatts,megawatts,percent
2024-12-09,99094.6,6216.296,6.27,megawatts,megawatts,percent
2024-12-08,99094.6,5985.892,6.04,megawatts,megawatts,percent
2024-12-07,99094.6,7583.252,7.65,megawatts,megawatts,percent
2024-12-06,99094.6,7623.253,7.69,megawatts,megawatts,percent
2024-12-05,99094.6,8053.455,8.13,megawatts,megawatts,percent
2024-12-04,99094.6,6053.75,6.11,megawatts,megawatts,percent
2024-12-03,99094.6,6043.145,6.1,megawatts,megawatts,percent
2024-12-02,99094.6,5024.937,5.07,megawatts,megawatts,percent
2024-12-01,99094.6,5038.885,5.08,megawatts,megawatts,percent
2024-11-30,99094.6,5608.335,5.66,megawatts,megawatts,percent
2024-11-29,99094.6,5841.047,5.89,megawatts,megawatts,percent
2024-11-28,99094.6,6374.45,6.43,megawatts,megawatts,percent
2024-11-27,99094.6,7134.048,7.2,megawatts,megawatts,percent
2024-11-26,99094.6,7900.709,7.97,megawatts,megawatts,percent
2024-11-25,99094.6,8385.903,8.46,megawatts,megawatts,percent
2024-11-24,99094.6,10027.169,10.12,megawatts,megawatts,percent
2024-11-23,99094.6,9805.356,9.89,megawatts,megawatts,percent
2024-11-22,99094.6,9082.191,9.17,megawatts,megawatts,percent
2024-11-21,99094.6,10344.092,10.44,megawatts,megawatts,percent
2024-11-20,99094.6,11329.754,11.43,megawatts,megawatts,percent
2024-11-19,99094.6,9872.049,9.96,megawatts,megawatts,percent
2024-11-18,99094.6,10338.843,10.43,megawatts,megawatts,percent
2024-11-17,99094.6,11829.556,11.94,megawatts,megawatts,percent
